customer_city,total_revenue,grand_total_revenue,percent_contribution,cummulative_sum
sao roque,11018.29,16008872.12,0.0688261478848017,71.287806126844
ilheus,11018.06,16008872.12,0.0688247111814646,71.3566308380255
mesquita,11004.89,16008872.12,0.0687424442990679,71.4253732823246
jau,10993.16,16008872.12,0.0686691724288694,71.4940424547534
cachoeirinha,10975.34,16008872.12,0.0685578591529157,71.5626003139063
francisco morato,10971.21,16008872.12,0.0685320609582082,71.6311323748645
barretos,10860.64,16008872.12,0.0678413814451783,71.6989737563097
paranagua,10854.44,16008872.12,0.0678026529204357,71.7667764092302
poa,10803.79,16008872.12,0.067486265859434,71.8342626750896
bertioga,10651.04,16008872.12,0.0665321074474296,71.900794782537
dourados,10612.85,16008872.12,0.0662935522280879,71.9670883347651
pato branco,10599.58,16008872.12,0.0662106606920663,72.0332989954572
itabuna,10426.6,16008872.12,0.0651301348517487,72.0984291303089
lins,10402.96,16008872.12,0.064982466734827,72.1634115970437
guarapuava,10373.88,16008872.12,0.0648008174607119,72.2282124145045
mairipora,10363.16,16008872.12,0.0647338545921247,72.2929462690966
pinhais,10312.06,16008872.12,0.064414656589811,72.3573609256864
ubatuba,10303.16,16008872.12,0.0643590624171967,72.4217199881036
itapecerica da serra,10245.85,16008872.12,0.0640010734247779,72.4857210615284
paracatu,10182.22,16008872.12,0.0636036063232667,72.5493246678516
mogi mirim,10178.05,16008872.12,0.0635775582671092,72.6129022261187
manhuacu,10156.88,16008872.12,0.0634453190947221,72.6763475452135
arapiraca,10150.03,16008872.12,0.0634025303214178,72.7397500755349
jaguariuna,9911.97,16008872.12,0.0619154799020282,72.8016655554369
boa vista,9892.93,16008872.12,0.0617965458518511,72.8634621012887
sao joao del rei,9889.99,16008872.12,0.0617781810352796,72.925240282324
lagoa santa,9879.1,16008872.12,0.0617101562555301,72.9869504385796
pirassununga,9868.55,16008872.12,0.0616442552981053,73.0485946938777
araguaina,9848.63,16008872.12,0.0615198242960292,73.1101145181737
avare,9783.63,16008872.12,0.0611137994398571,73.1712283176135
votuporanga,9760.03,16008872.12,0.0609663811843854,73.2321946987979
brusque,9731.21,16008872.12,0.060786356009695,73.2929810548076
jandira,9728.98,16008872.12,0.0607724262338601,73.3537534810415
lajeado,9615.48,16008872.12,0.0600634443696212,73.4138169254111
videira,9611.89,16008872.12,0.060041019304488,73.4738579447156
teofilo otoni,9586.61,16008872.12,0.0598831068681183,73.5337410515837
luis eduardo magalhaes,9538.69,16008872.12,0.0595837728510758,73.5933248244348
lorena,9471.61,16008872.12,0.0591647551995062,73.6524895796343
alvorada,9323.06,16008872.12,0.0582368322397468,73.710726411874
colombo,9309.22,16008872.12,0.0581503801780634,73.7688767920521
itauna,9239.65,16008872.12,0.0577158086512343,73.8265926007033
leme,9157.01,16008872.12,0.0571995948956334,73.883792195599
timoteo,9148.99,16008872.12,0.057149497674918,73.9409416932739
imperatriz,9144.78,16008872.12,0.0571231997573106,73.9980648930312
nova serrana,9143.59,16008872.12,0.0571157663791745,74.0551806594104
juazeiro,8973.25,16008872.12,0.0560517313945537,74.1112323908049
apucarana,8810.9,16008872.12,0.0550376062345609,74.1662699970395
camacari,8799.87,16008872.12,0.0549687069397366,74.2212387039792
boituva,8749.52,16008872.12,0.0546541938396095,74.2758928978188
aruja,8722.18,16008872.12,0.0544834135385673,74.3303763113574
itapira,8671.44,16008872.12,0.0541664642893031,74.3845427756467
francisco beltrao,8639.1,16008872.12,0.0539644513070169,74.4385072269537
paranavai,8625.3,16008872.12,0.0538782491067834,74.4923854760605
juazeiro do norte,8586.07,16008872.12,0.053633197489743,74.5460186735502
campo mourao,8579.69,16008872.12,0.0535933445884756,74.5996120181387
sinop,8555.82,16008872.12,0.0534442397682167,74.6530562579069
colatina,8552.71,16008872.12,0.0534248130404829,74.7064810709474
tres lagoas,8547.88,16008872.12,0.0533946422704012,74.7598757132178
ibirite,8536.72,16008872.12,0.0533249309258646,74.8132006441437
bento goncalves,8481.21,16008872.12,0.0529781856986937,74.8661788298424
matao,8449.77,16008872.12,0.0527817945990314,74.9189606244414
itaborai,8432.21,16008872.12,0.0526721054225024,74.9716327298639
ouro preto,8429.14,16008872.12,0.0526529285562186,75.0242856584201
trindade,8413.61,16008872.12,0.0525559198482747,75.0768415782684
fernandopolis,8409.22,16008872.12,0.0525284975541425,75.1293700758225
