payment_installments,avg_order_value
20,615.801764705882
24,610.048888888889
18,486.483333333333
15,445.553108108108
10,415.085837087087
12,321.678496240601
8,307.737427366449
16,292.694
21,243.7
23,236.48
22,228.71
6,209.849951530612
9,203.440869565217
7,187.673671586716
5,183.465222370682
17,174.6025
14,167.962666666667
4,163.976839954916
13,150.4625
3,142.53931746487
2,127.228150326271
11,124.932173913043
1,112.420229132566
0,94.315
